iter	Logloss
201	0.1041821952
202	0.1040992335
203	0.1040218989
204	0.103941429
205	0.1038764127
206	0.1038113472
207	0.1037364494
208	0.103635231
209	0.1035305106
210	0.1034290084
211	0.1033444894
212	0.1032531468
213	0.1031413008
214	0.1030479317
215	0.1029977645
216	0.1028452881
217	0.1027909482
218	0.1025972582
219	0.1024277826
220	0.1023513913
221	0.1022811428
222	0.1021681291
223	0.1021199083
224	0.1019549986
225	0.1018818417
226	0.1017949686
227	0.1016954421
228	0.1016479512
229	0.1015578596
230	0.10150298
231	0.1014010578
232	0.1012843534
233	0.1012253153
234	0.1011623457
235	0.1010973784
236	0.1009597906
237	0.1008311053
238	0.1006495552
239	0.1005816871
240	0.1005252757
241	0.100473125
242	0.1003975037
243	0.1003314313
244	0.1002341818
245	0.100103241
246	0.1000526302
247	0.09998678171
248	0.09989055188
249	0.09982064808
250	0.09973844226
251	0.09968069906
252	0.09962377909
253	0.09958907495
254	0.09953846849
255	0.0994916524
256	0.09945571153
257	0.09935699025
258	0.09927295744
259	0.09913356595
260	0.09906266095
261	0.09900282451
262	0.09892057379
263	0.09887822804
264	0.09878404906
265	0.09870240535
266	0.0986216173
267	0.09849939749
268	0.09842390096
269	0.09837292348
270	0.09833047377
271	0.0982486144
272	0.09817326138
273	0.09812410047
274	0.09793072413
275	0.09784453563
276	0.09775129284
277	0.09767621496
278	0.09762933132
279	0.09759649621
280	0.09754639155
281	0.0974434068
282	0.09737304511
283	0.09731031849
284	0.0972429731
285	0.09717775035
286	0.09707897404
287	0.09702628136
288	0.0969962489
289	0.09691418421
290	0.09681358503
291	0.09674368658
292	0.09665017927
293	0.09658865284
294	0.09654202926
295	0.09646576866
296	0.09633267697
297	0.09621759711
298	0.09611838828
299	0.09604686213
300	0.09598177292
301	0.09589604539
302	0.09582786912
303	0.09574389874
304	0.09562240094
305	0.09554648566
306	0.09548274791
307	0.09543351832
308	0.09536284848
309	0.09525196181
310	0.09519331781
311	0.09512230669
312	0.09504356669
313	0.09500120219
314	0.09491790616
315	0.09483739984
316	0.0947608977
317	0.09471126339
318	0.09467069448
319	0.09462048482
320	0.09454921171
321	0.09445393596
322	0.09436978786
323	0.09431981468
324	0.09424116416
325	0.09418872978
326	0.09414009482
327	0.09405854574
328	0.09400920566
329	0.09392189165
330	0.09384413608
331	0.09375986703
332	0.0937152648
333	0.09365785873
334	0.09357437782
335	0.09351453168
336	0.09347272413
337	0.0934252508
338	0.09337973489
339	0.09331649357
340	0.0932896879
341	0.09324473427
342	0.09312547422
343	0.09304209822
344	0.09299382013
345	0.09290176083
346	0.0928583625
347	0.0928254203
348	0.09276501442
349	0.09271178557
350	0.09264209505
351	0.09259692978
352	0.09252137543
353	0.09246200733
354	0.09241305955
355	0.09235634081
356	0.09231518368
357	0.09224586758
358	0.09218487452
359	0.09212550356
360	0.09206196958
361	0.09201286006
362	0.09194685499
363	0.09187543382
364	0.09181377074
365	0.0917488435
366	0.09166242529
367	0.09161611283
368	0.09156655427
369	0.09149176891
370	0.09145223706
371	0.09141329534
372	0.09138159888
373	0.09132790586
374	0.09126391542
375	0.09121405111
376	0.09112864047
377	0.09105408626
378	0.09098910537
379	0.09093205166
380	0.09081811141
381	0.09071647911
382	0.09069760539
383	0.09064199399
384	0.09057703914
385	0.09051726442
386	0.09040095792
387	0.09037140332
388	0.09029952054
389	0.09025863805
390	0.09022030046
391	0.09016874819
392	0.09008266722
393	0.09002278523
394	0.08995804079
395	0.08990679618
396	0.0898540467
397	0.08979391556
398	0.08974717952
399	0.08969471384
400	0.0896377218
401	0.08957029112
402	0.08952835966
403	0.08947632661
404	0.08940858703
405	0.08935580838
406	0.08929723936
407	0.0892281478
408	0.08915753361
409	0.08910711456
410	0.08905235721
411	0.08894178346
412	0.08887476832
413	0.08882114501
414	0.08875766634
415	0.08869694874
416	0.0886442034
417	0.08860733421
418	0.0885358181
419	0.08848390415
420	0.08841090212
421	0.08834671222
422	0.08829926321
423	0.08824756379
424	0.08818200032
425	0.08811957599
426	0.08807612552
427	0.08803775976
428	0.0879768765
429	0.08794163179
430	0.08789098434
431	0.0878469852
432	0.08778434846
433	0.08775533742
434	0.08771375224
435	0.08765843992
436	0.08759542809
437	0.08754573271
438	0.08745192877
439	0.08740050992
440	0.08732058843
441	0.08725971684
442	0.08721082688
443	0.0871017946
444	0.08701982604
445	0.08696973702
446	0.08691847831
447	0.08688476539
448	0.08686144056
449	0.08680131636
450	0.08674711981
451	0.08669435055
452	0.08664359212
453	0.08659071528
454	0.08656496885
455	0.08650687213
456	0.08646689153
457	0.08643134474
458	0.08636065289
459	0.08632193789
460	0.08625757802
461	0.0862102378
462	0.08612625294
463	0.08606403299
464	0.08598921966
465	0.08594238122
466	0.0859085282
467	0.08584511511
468	0.08579433175
469	0.0857505652
470	0.08568786157
471	0.0856304465
472	0.08557856622
473	0.08551758705
474	0.08546819527
475	0.08544005498
476	0.08535362958
477	0.08531469872
478	0.08526486974
479	0.08517514278
480	0.08510710765
481	0.08505120112
482	0.08501759989
483	0.08497004905
484	0.08489000072
485	0.08483886395
486	0.08480707834
487	0.08474517853
488	0.08470265053
489	0.08465074877
490	0.08459953638
491	0.08455491361
492	0.08452188638
493	0.08448558146
494	0.0844383604
495	0.08438013492
496	0.08432413472
497	0.08427902847
498	0.08423136498
499	0.0841931096
